date	close	volume	vwap
2021-04-26	261.55	19763346.0	261.3025
2021-04-23	261.15	21499286.0	260.3060200741678
2021-04-22	257.17	25606152.0	259.6948539938307
2021-04-21	260.58	24030383.0	259.50190755015393
2021-04-20	258.26	19722875.0	259.326842621654
2021-04-19	258.74	23209260.0	259.3829718539987
2021-04-16	260.74	24878582.0	259.37007532219855
2021-04-15	259.5	25627481.0	259.29499141255167
2021-04-14	255.59	23070938.0	259.0391532493152
2021-04-13	258.49	23837469.0	258.93306521810655
2021-04-12	255.91	27148668.0	258.64013222400376
2021-04-09	255.85	24326833.0	258.2593704529705
2021-04-08	253.25	23625197.0	257.8591317563865
2021-04-07	249.9	22719835.0	257.2516103583863
2021-04-06	247.86	22931923.0	256.6580086566626
2021-04-05	249.07	36910609.0	255.67779670721112
2021-04-01	242.35	30337982.0	254.57550856936376
2021-03-31	235.77	43623471.0	252.80081669080124
2021-03-30	231.85	24792012.0	251.76748298991544
2021-03-29	235.24	25227455.0	250.91027920120465
2021-03-26	236.48	25479853.0	250.11610538566245
2021-03-25	232.34	34061853.0	249.17230918474692
2021-03-24	235.46	25620127.0	248.6362902931719
2021-03-23	237.58	31638376.0	248.15513561493376
2021-03-22	235.99	30127005.0	247.48690059942854
2021-03-19	230.35	46430730.0	246.39720640351797
2021-03-18	230.72	34852251.0	245.7323656290927
2021-03-17	237.04	29562100.0	245.35481882215092
2021-03-16	237.71	28092196.0	245.09606183537576
2021-03-15	234.81	26042669.0	244.72984137488547
2021-03-12	235.75	22653662.0	244.45705021396245
2021-03-11	237.13	29907586.0	244.19398963944738
2021-03-10	232.42	29746812.0	243.87674923355047
2021-03-09	233.78	33080531.0	243.51259040374936
2021-03-08	227.39	35267440.0	243.03299189428972
2021-03-05	231.6	41872770.0	242.49100196304582
2021-03-04	226.73	44727785.0	241.89651449223646
2021-03-03	227.56	34029526.0	241.54020749774213
2021-03-02	233.87	22812459.0	241.4145089452168
2021-03-01	236.94	25332837.0	241.27935713443264
2021-02-26	232.38	37545055.0	240.99900645167153
2021-02-25	228.99	39118089.0	240.68608497872557
2021-02-24	234.55	26339746.0	240.50475909884526
2021-02-23	233.27	30228704.0	240.29830396366046
2021-02-22	234.51	36182764.0	240.1569130601362
2021-02-19	240.97	25262600.0	240.19206597253756
2021-02-18	243.79	16925563.0	240.21956637848913
2021-02-17	244.2	21451617.0	240.25703178021593
2021-02-16	243.7	26728487.0	240.3382820960193
2021-02-12	244.99	16561079.0	240.3811454034937
2021-02-11	244.49	15751059.0	240.41699243682632
2021-02-10	242.82	22117240.0	240.46230555600425
2021-02-09	243.77	23471475.0	240.50360790262567
2021-02-08	242.47	22211929.0	240.52932365778938
2021-02-05	242.2	18054752.0	240.54498836733657
2021-02-04	242.01	25296100.0	240.56558457989192
2021-02-03	243.0	27158104.0	240.59334259081828
2021-02-02	239.51	25678356.0	240.59184482931374
2021-02-01	239.65	33314193.0	240.52807970756763
2021-01-29	231.96	42503138.0	240.37991132926206
2021-01-28	238.93	49111159.0	240.33678743272705
2021-01-27	232.9	69870638.0	240.14035254907745
2021-01-26	232.33	49169601.0	239.9267917626536
2021-01-25	229.53	33152095.0	239.69852769839372
2021-01-22	225.95	30172663.0	239.5124634743018
2021-01-21	224.97	30749553.0	239.27208867254106
2021-01-20	224.34	37777260.0	238.93311595432806
2021-01-19	216.44	30480859.0	238.56660482714562
2021-01-15	212.65	31746512.0	238.17262168630074
2021-01-14	213.02	29346737.0	237.84515427072984
2021-01-13	216.34	20087080.0	237.62865931734885
2021-01-12	214.93	23148341.0	237.3828199087494
2021-01-11	217.49	23047029.0	237.17154182355682
2021-01-08	219.62	22956206.0	236.97604724368017
2021-01-07	218.29	27694480.0	236.71679103444708
