date	exchange_rate
01/20/2021	1377.9615576169067
01/21/2021	1111.617108871846
01/22/2021	1235.4366962568936
01/23/2021	1234.4899905061552
01/24/2021	1393.4955636711773
01/25/2021	1319.49362245675
01/26/2021	1360.3631970703395
01/27/2021	1243.298797247169
01/28/2021	1330.8647739544701
01/29/2021	1379.7404247839684
01/30/2021	1378.841589279936
01/31/2021	1314.7191255750217
02/01/2021	1375.1155573177386
02/02/2021	1513.655486992227
02/03/2021	1666.680802194203
02/04/2021	1600.0113077821968
02/05/2021	1718.94454518196
02/06/2021	1679.3642899186616
02/07/2021	1615.745377371274
02/08/2021	1752.2035724339005
02/09/2021	1770.6071742840625
02/10/2021	1743.9314677017069
02/11/2021	1787.691304943247
02/12/2021	1845.6240700421708
02/13/2021	1818.6177281785983
02/14/2021	1805.1184902689315
02/15/2021	1780.083284676792
02/16/2021	1784.4877389057158
02/17/2021	1851.9470366265
02/18/2021	1938.702814738286
02/19/2021	1957.3388445502644
02/20/2021	1916.7660181754964
02/21/2021	1936.3271553453844
02/22/2021	1777.786014312352
02/23/2021	1578.8924937360237
02/24/2021	1626.5176988506628
02/25/2021	1483.7251972048412
02/26/2021	1448.950767073747
02/27/2021	1462.6869649769228
02/28/2021	1422.6993255278671
03/01/2021	1573.0103199915363
03/02/2021	1490.4135121645204
03/03/2021	1571.5022835202844
03/04/2021	1542.1784345726146
03/05/2021	1531.6240063346054
03/06/2021	1651.9007669622797
03/07/2021	1726.732047322852
03/08/2021	1834.9597147593367
03/09/2021	1869.1948164702123
03/10/2021	1795.9960635119144
03/11/2021	1826.7114102703804
03/12/2021	1772.158096436184
03/13/2021	1918.9083466321115
03/14/2021	1850.7412586629732
03/15/2021	1796.9091261581168
03/16/2021	1807.5790716900112
03/17/2021	1822.783353129036
03/18/2021	1780.3815523233454
03/19/2021	1812.4576347907675
03/20/2021	1808.8762932051095
03/21/2021	1788.2650005828848
03/22/2021	1685.487313366065
03/23/2021	1674.7372192921416
03/24/2021	1587.9622078721736
03/25/2021	1592.4125455825324
03/26/2021	1702.2840286145054
03/27/2021	1714.8390479941063
03/28/2021	1688.91935105853
03/29/2021	1816.510776911092
03/30/2021	1842.1938813538409
03/31/2021	1917.2821603321097
04/01/2021	1966.2964276376815
04/02/2021	2134.4001052714343
04/03/2021	2013.9066245726808
04/04/2021	2078.2313844385008
Average exchange rate over 75 days: 1671.057215471878
